dataset,sentenceid,sentence,category,sub_cat,polarity,aspect_term
14_laptop_test,1074:1,"The only thing I dislike is the touchpad, alot of the times its unresponsive and does things I dont want it too, I would recommend using a mouse with it.",,,negative,touchpad
14_laptop_test,286:1,"Note, however, that any existing MagSafe accessories you have will not work with the MagSafe 2 connection.",,,negative,MagSafe 2 connection
14_laptop_test,286:1,"Note, however, that any existing MagSafe accessories you have will not work with the MagSafe 2 connection.",,,neutral,MagSafe accessories
14_laptop_test,313:1,"Performance is much much better on the Pro, especially if you install an SSD on it.",,,positive,SSD
14_laptop_test,313:1,"Performance is much much better on the Pro, especially if you install an SSD on it.",,,positive,Performance
14_laptop_test,689:1,I haven't tried the one with retina display... Maybe in the future.,,,neutral,retina display
14_laptop_test,1075:1,(but Office can be purchased) IF I ever need a laptop again I am for sure purchasing another Toshiba!!,,,neutral,Office
14_laptop_test,816:1,"Its fast, easy to use and it looks great.",,,positive,looks
14_laptop_test,816:1,"Its fast, easy to use and it looks great.",,,positive,use
14_laptop_test,414:1,MAYBE The Mac OS improvement were not The product they Want to offer.,,,negative,Mac OS
14_laptop_test,204:1,Apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 graphics chipset.,,,neutral,intel 4000 graphics chipset
14_laptop_test,1140:1,"It has a very high performance, just for what I needed for.",,,positive,performance
14_laptop_test,379:1,The exterior is absolutely gorgeous.,,,positive,exterior
14_laptop_test,829:1,Very nice unibody construction.,,,positive,unibody construction
14_laptop_test,926:1,It is made of such solid construction and since I have never had a Mac using my iPhone helped me get used to the system a bit.,,,neutral,system
14_laptop_test,926:1,It is made of such solid construction and since I have never had a Mac using my iPhone helped me get used to the system a bit.,,,positive,construction
14_laptop_test,281:1,"First off, I really do like my MBP... once used to the OS it is pretty easy to get around, and the overall build is great... eg the keyboard is one of the best to type on.",,,positive,keyboard
14_laptop_test,281:1,"First off, I really do like my MBP... once used to the OS it is pretty easy to get around, and the overall build is great... eg the keyboard is one of the best to type on.",,,positive,overall build
14_laptop_test,281:1,"First off, I really do like my MBP... once used to the OS it is pretty easy to get around, and the overall build is great... eg the keyboard is one of the best to type on.",,,positive,OS
14_laptop_test,962:1,"Unfortunately, it runs XP and Microsoft is dropping support next April.",,,negative,support
14_laptop_test,962:1,"Unfortunately, it runs XP and Microsoft is dropping support next April.",,,neutral,XP
14_laptop_test,763:1,So much faster and sleeker looking.,,,positive,looking
14_laptop_test,201:1,It's fast at loading the internet.,,,positive,loading the internet
14_laptop_test,376:1,I love the form factor.,,,positive,form factor
14_laptop_test,708:1,I like the operating system.,,,positive,operating system
14_laptop_test,318:1,"This Macbook Pro is fast, powerful, and runs super quiet and cool.",,,positive,runs
14_laptop_test,456:1,"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!",,,neutral,Photoshop
14_laptop_test,456:1,"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!",,,neutral,FileMaker Pro
14_laptop_test,456:1,"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!",,,neutral,Appleworks
14_laptop_test,456:1,"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!",,,neutral,Legacy programs
14_laptop_test,29:310,I blame the Mac OS.,,,negative,Mac OS
14_laptop_test,999:1,The smaller size was a bonus because of space restrictions.,,,positive,size
14_laptop_test,824:1,"!Excelent performance, usability, presentation and time response.",,,positive,time response
14_laptop_test,824:1,"!Excelent performance, usability, presentation and time response.",,,positive,presentation
14_laptop_test,824:1,"!Excelent performance, usability, presentation and time response.",,,positive,usability
14_laptop_test,824:1,"!Excelent performance, usability, presentation and time response.",,,positive,performance
14_laptop_test,949:1,Thanks for the fast shipment and great price.,,,positive,price
14_laptop_test,949:1,Thanks for the fast shipment and great price.,,,positive,shipment
14_laptop_test,391:1,"The battery lasts as advertised (give or take 15-20 minutes), and the entire user experience is very elegant.",,,positive,user experience
14_laptop_test,456:1,"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!",,,neutral,Quicken
14_laptop_test,294:0,You just cannot beat the functionality of an Apple device.,,,positive,functionality
14_laptop_test,786:1477,It's ok but doesn't have a disk drive which I didn't know until after I bought it.,,,neutral,disk drive
14_laptop_test,29:783,"There is no HDMI receptacle, nor is there an SD card slot located anywhere on the device.",,,neutral,SD card slot
14_laptop_test,25:1,It's silent and has a very small footprint on my desk.,,,positive,footprint
14_laptop_test,526:1,"Runs good and does the job, can't complain about that!",,,positive,Runs
14_laptop_test,394:1,"It was also suffering from hardware (keyboard) issues, relatively slow performance and shortening battery lifetime.",,,negative,hardware (keyboard)
14_laptop_test,394:1,"It was also suffering from hardware (keyboard) issues, relatively slow performance and shortening battery lifetime.",,,negative,battery lifetime
14_laptop_test,394:1,"It was also suffering from hardware (keyboard) issues, relatively slow performance and shortening battery lifetime.",,,negative,performance
14_laptop_test,952:1,"This item is a beautiful piece, it works well, it is easy to carry and handle.",,,positive,handle
14_laptop_test,952:1,"This item is a beautiful piece, it works well, it is easy to carry and handle.",,,positive,carry
14_laptop_test,952:1,"This item is a beautiful piece, it works well, it is easy to carry and handle.",,,positive,works
14_laptop_test,520:2,I'm overall pleased with the interface and the portability of this product.,,,positive,portability
14_laptop_test,520:2,I'm overall pleased with the interface and the portability of this product.,,,positive,interface
14_laptop_test,786:458,Web surfuring is smooth and seamless.,,,positive,Web surfuring
14_laptop_test,515:1,"Its the best, its got the looks, super easy to use and love all you can do with the trackpad!..",,,positive,trackpad
14_laptop_test,29:783,"There is no HDMI receptacle, nor is there an SD card slot located anywhere on the device.",,,neutral,HDMI receptacle
14_laptop_test,515:1,"Its the best, its got the looks, super easy to use and love all you can do with the trackpad!..",,,positive,use
14_laptop_test,1171:1,and the speakers is the worst ever.,,,negative,speakers
14_laptop_test,786:723,The configuration is perfect for my needs.,,,positive,configuration
14_laptop_test,460:1,Then the system would many times not power down without a forced power-off.,,,negative,power down
14_laptop_test,460:1,Then the system would many times not power down without a forced power-off.,,,negative,system
14_laptop_test,671:1,Price was higher when purchased on MAC when compared to price showing on PC when I bought this product.,,,positive,price
14_laptop_test,671:1,Price was higher when purchased on MAC when compared to price showing on PC when I bought this product.,,,negative,Price
14_laptop_test,706:1,"It looks and feels solid, with a flawless finish.",,,positive,feels
14_laptop_test,706:1,"It looks and feels solid, with a flawless finish.",,,positive,looks
14_laptop_test,706:1,"It looks and feels solid, with a flawless finish.",,,positive,finish
14_laptop_test,335:0,MY TRACKPAD IS NOT WORKING.,,,negative,TRACKPAD
14_laptop_test,355:1,"It shouldn't happen like that, I don't have any design app open or anything.",,,neutral,design app
14_laptop_test,758:1,It came in brand new and works perfectly.,,,positive,works
14_laptop_test,515:1,"Its the best, its got the looks, super easy to use and love all you can do with the trackpad!..",,,positive,looks
14_laptop_test,391:1,"The battery lasts as advertised (give or take 15-20 minutes), and the entire user experience is very elegant.",,,positive,battery
14_laptop_test,547:17,Yet my mac continues to function properly.,,,positive,function
14_laptop_test,275:7,"Here are the things that made me confident with my purchase:Build Quality - Seriously, you can't beat a unibody construction.",,,positive,Build Quality
14_laptop_test,266:25,Customization on mac is impossible.,,,negative,Customization
14_laptop_test,787:619,I had to install Mountain Lion and it took a good two hours.,,,negative,install Mountain Lion
14_laptop_test,754:11,No HDMI port.,,,neutral,HDMI port
14_laptop_test,523:1,This one still has the CD slot.,,,neutral,CD slot
14_laptop_test,578:1,I was concerned that the downgrade to the regular hard drive would make it unacceptably slow but I need not have worried - this machine is the fastest I have ever owned...,,,positive,regular hard drive
14_laptop_test,843:1,"The Dell Inspiron is fast and has a number pad on the keyboard, which I miss on my Apple laptops.",,,positive,number pad on the keyboard
14_laptop_test,115:1,"After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive.",,,neutral,hard drive
14_laptop_test,115:1,"After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive.",,,neutral,OWC upgrade kit
14_laptop_test,115:1,"After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive.",,,neutral,Seagate Momentus XT hybrid drives
14_laptop_test,115:1,"After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive.",,,neutral,16GB of RAM
14_laptop_test,261:0,First of all yes this is a mac and it has that nice brushed aluminum .,,,positive,aluminum
14_laptop_test,787:873,"Simple details, crafted aluminium and real glass make this laptop blow away the other plastic ridden, bulky sticker filled laptops.",,,positive,glass
14_laptop_test,787:873,"Simple details, crafted aluminium and real glass make this laptop blow away the other plastic ridden, bulky sticker filled laptops.",,,positive,aluminium
14_laptop_test,615:1,"Soft touch, anodized aluminum with laser cut precision and no flaws.",,,positive,anodized aluminum
14_laptop_test,615:1,"Soft touch, anodized aluminum with laser cut precision and no flaws.",,,positive,touch
14_laptop_test,1053:13,"The SD card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not.",,,negative,slot
14_laptop_test,1053:13,"The SD card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not.",,,negative,nail slot on the card
14_laptop_test,1053:13,"The SD card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not.",,,negative,SD card reader
14_laptop_test,1077:1,"WiFi capability, disk drive and multiple USB ports to connect scale and printers was all that was required.",,,positive,WiFi capability
14_laptop_test,1077:1,"WiFi capability, disk drive and multiple USB ports to connect scale and printers was all that was required.",,,positive,USB ports
14_laptop_test,1077:1,"WiFi capability, disk drive and multiple USB ports to connect scale and printers was all that was required.",,,positive,disk drive
14_laptop_test,786:1170,"Since the machine's slim profile is critical to me, that was a problem.",,,negative,profile
14_laptop_test,494:1,Buy the separate RAM memory and you will have a rocket!,,,positive,RAM memory
14_laptop_test,378:1,Runs real quick.,,,positive,Runs
14_laptop_test,227:1,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",,,neutral,right mouse click menu
14_laptop_test,29:322,I am replacing the HD with a Micron SSD soon.,,,neutral,HD
14_laptop_test,29:322,I am replacing the HD with a Micron SSD soon.,,,neutral,Micron SSD
14_laptop_test,275:12,Plus two finger clicking as a replacement for the right click button is surprisingly intuitive.,,,positive,two finger clicking
14_laptop_test,275:12,Plus two finger clicking as a replacement for the right click button is surprisingly intuitive.,,,neutral,right click button
14_laptop_test,991:1,"I also wanted Windows 7, which this one has.",,,positive,Windows 7
14_laptop_test,464:4,"Apple no longer includes iDVD with the computer and furthermore, Apple doesn't even offer it anymore!",,,negative,iDVD
14_laptop_test,62:1,"I switched to this because I wanted something different, even though I miss windows.",,,positive,windows
14_laptop_test,688:1,Nice packing.,,,positive,packing
14_laptop_test,121:1,Easy to install also small to leave anywhere at your bedroom also very easy to configure for ADSl cable or wifi.,,,positive,configure for ADSl cable or wifi
14_laptop_test,840:1,My laptop with Windows 7 crashed and I did not want Windows 8.,,,negative,Windows 8
14_laptop_test,840:1,My laptop with Windows 7 crashed and I did not want Windows 8.,,,negative,Windows 7
14_laptop_test,217:1,Needs a CD/DVD drive and a bigger power switch.,,,negative,power switch
14_laptop_test,217:1,Needs a CD/DVD drive and a bigger power switch.,,,neutral,CD/DVD drive
14_laptop_test,716:1,It is very fast and has everything that I need except for a word program.,,,negative,word program
14_laptop_test,29:1175,"There is no ""tools"" menu.",,,neutral,"""tools"" menu"
14_laptop_test,279:2,No startup disk was not included but that may be my fault.,,,neutral,startup disk
14_laptop_test,227:1,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",,,neutral,features
14_laptop_test,961:1,"Which it did not have, only 3 USB 2 ports.",,,neutral,USB 2 ports
14_laptop_test,47:1,Fan only comes on when you are playing a game.,,,neutral,Fan
14_laptop_test,1160:2,The troubleshooting said it was the AC adaptor so we ordered a new one.,,,neutral,AC adaptor
14_laptop_test,497:3,"CONS: Price is a bit ridiculous, kinda heavy.",,,negative,Price
14_laptop_test,203:1,I tried several monitors and several HDMI cables and this was the case each time.,,,neutral,HDMI cables
14_laptop_test,203:1,I tried several monitors and several HDMI cables and this was the case each time.,,,neutral,monitors
14_laptop_test,398:2,The OS is great.,,,positive,OS
14_laptop_test,429:0,if yo like practicality this is the laptop for you.,,,positive,practicality
14_laptop_test,1064:1,"The battery was completely dead, in fact it had grown about a quarter inch thick lump on the underside.",,,negative,battery
14_laptop_test,1035:1,The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,,,neutral,battery
14_laptop_test,1035:1,The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,,,neutral,power adaptor
14_laptop_test,1035:1,The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,,,negative,power plug
14_laptop_test,397:17,The SuperDrive is quiet.,,,positive,SuperDrive
14_laptop_test,47:1,Fan only comes on when you are playing a game.,,,neutral,playing a game
14_laptop_test,227:1,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",,,neutral,tutorial
14_laptop_test,227:1,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",,,positive,install
14_laptop_test,227:1,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",,,positive,setup
14_laptop_test,267:1,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",,,neutral,Quad-Core 2.5 GHz CPU
14_laptop_test,731:5,All the ports are much needed since this is my main computer.,,,neutral,ports
14_laptop_test,872:1,12.44 seconds to boot.,,,neutral,boot
14_laptop_test,420:1,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!",,,neutral,cost
14_laptop_test,420:1,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!",,,neutral,priced
14_laptop_test,420:1,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!",,,positive,apps
14_laptop_test,420:1,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!",,,positive,screen
14_laptop_test,22:0,Got this Mac Mini with OS X Mountain Lion for my wife.,,,neutral,OS X Mountain Lion
14_laptop_test,0:14,3D rendering slows it down considerably.,,,negative,3D rendering
14_laptop_test,461:17,The unibody construction really does feel lot more solid than Apple's previous laptops.,,,positive,unibody construction
14_laptop_test,0:3,The Mini's body hasn't changed since late 2010- and for a good reason.,,,positive,body
14_laptop_test,462:6,The Macbook pro's physical form is wonderful.,,,positive,physical form
14_laptop_test,267:1,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",,,neutral,Radeon HD 6750M 512MB graphic card
14_laptop_test,479:5,"Having heard from friends and family about how reliable a Mac product is, I never expected to have an application crash within the first month, but I did.",,,negative,application
14_laptop_test,1063:396,The sound was crappy even when you turn up the volume still the same results.,,,negative,volume
14_laptop_test,1063:396,The sound was crappy even when you turn up the volume still the same results.,,,negative,sound
14_laptop_test,26:4,"Logic board utterly fried, cried, and laid down and died.",,,positive,Logic board
14_laptop_test,29:186,Came with iPhoto and garage band already loaded.,,,neutral,garage band
14_laptop_test,29:186,Came with iPhoto and garage band already loaded.,,,neutral,iPhoto
14_laptop_test,1063:374,so i called technical support.,,,neutral,technical support
14_laptop_test,1063:373,I got the new adapter and there was no change.,,,neutral,adapter
14_laptop_test,1063:397,The technical support was not helpful as well.,,,negative,technical support
14_laptop_test,29:172,Mac tutorials do help.,,,positive,Mac tutorials
14_laptop_test,786:1275,"I want the portability of a tablet, without the limitations of a tablet and that's where this laptop comes into play.",,,positive,portability
14_laptop_test,286:3,It provides much more flexibility for connectivity.,,,positive,flexibility for connectivity
14_laptop_test,275:7,"Here are the things that made me confident with my purchase:Build Quality - Seriously, you can't beat a unibody construction.",,,positive,unibody construction
14_laptop_test,271:4,OSX Lion is a great performer..extremely fast and reliable.,,,positive,OSX Lion
14_laptop_test,463:9,Graphics are much improved.,,,positive,Graphics
14_laptop_test,267:1,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",,,neutral,integrated Intel 4000 card
14_laptop_test,267:1,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",,,positive,package
14_laptop_test,1056:1,"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",,,positive,gaming
14_laptop_test,1056:1,"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",,,positive,graphic design
14_laptop_test,1056:1,"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",,,positive,word processing
14_laptop_test,1056:1,"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",,,positive,internet
14_laptop_test,7:21,More likely it will require replacing the logic board once they admit they have a problem and come up with a solution.,,,negative,logic board
14_laptop_test,786:1355,Boot-up slowed significantly after all Windows updates were installed.,,,negative,Windows updates
14_laptop_test,786:1355,Boot-up slowed significantly after all Windows updates were installed.,,,negative,Boot-up
14_laptop_test,349:1,Runs very smoothly.,,,positive,Runs
14_laptop_test,339:4,"I thought that it will be fine, if i do some settings.",,,neutral,settings
14_laptop_test,314:67,The MBP is beautiful has many wonderful capabilities.,,,positive,capabilities
14_laptop_test,787:207,I was given a demonstration of Windows 8.,,,neutral,Windows 8
14_laptop_test,389:1,It is lightweight and the perfect size to carry to class.,,,positive,size
14_laptop_test,267:1,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",,,neutral,wireless Apple Keyboard and Mouse
14_laptop_test,786:1193,The audio volume is quite low and virtually unusable in a room with any background activity.,,,negative,audio volume
14_laptop_test,98:1,Not too expense and has enough storage for most users and many ports.,,,positive,storage
14_laptop_test,289:1,"I was having a though time deciding between the 13"" MacBook Air or the MacBook Pro 13"" (Both baseline models, priced at 1,200 $ retail)",,,neutral,priced
14_laptop_test,997:1,This newer netbook has no hard drive or network lights.,,,neutral,network lights
14_laptop_test,997:1,This newer netbook has no hard drive or network lights.,,,neutral,hard drive
14_laptop_test,71:1,My one complaint is that there was no internal CD drive.,,,negative,internal CD drive
14_laptop_test,1101:1,Not sure on Windows 8.,,,neutral,Windows 8
14_laptop_test,786:1277,It is pretty snappy and starts up in about 30 seconds which is good enough for me.,,,positive,starts up
14_laptop_test,293:3,The 2.9ghz dual-core i7 chip really out does itself.,,,positive,2.9ghz dual-core i7 chip
14_laptop_test,786:633,This mac does come with an extender cable and I'm using mine right now hoping the cable will stay nice for the many years I plan on using this mac.,,,positive,cable
14_laptop_test,786:633,This mac does come with an extender cable and I'm using mine right now hoping the cable will stay nice for the many years I plan on using this mac.,,,neutral,extender cable
14_laptop_test,291:6,Within a few hours I was using the gestures unconsciously.,,,positive,gestures
14_laptop_test,419:2,Put a cover on it and is a little better but that is my only complaint.,,,neutral,cover
14_laptop_test,98:1,Not too expense and has enough storage for most users and many ports.,,,positive,ports
14_laptop_test,941:1,"At first, I feel a little bit uncomfortable in using the Mac system.",,,negative,Mac system
14_laptop_test,894:1,"It's fast, light, and is perfect for media editing, which is mostly why I bought it in the first place.",,,positive,media editing
14_laptop_test,29:319,USB3 Peripherals are noticably less expensive than the ThunderBolt ones.,,,negative,ThunderBolt
14_laptop_test,37:1,"It is very easy to integrate bluetooth devices, and USB devices are recognized almost instantly.",,,positive,USB devices
14_laptop_test,37:1,"It is very easy to integrate bluetooth devices, and USB devices are recognized almost instantly.",,,positive,integrate bluetooth devices
14_laptop_test,747:8,The aluminum body sure makes it stand out.,,,positive,aluminum body
14_laptop_test,727:1,The reason why I choose apple MacBook because of their design and the aluminum casing.,,,positive,aluminum casing
14_laptop_test,727:1,The reason why I choose apple MacBook because of their design and the aluminum casing.,,,positive,design
14_laptop_test,417:1,"It's been time for a new laptop, and the only debate was which size of the Mac laptops, and whether to spring for the retina display.",,,neutral,retina display
14_laptop_test,417:1,"It's been time for a new laptop, and the only debate was which size of the Mac laptops, and whether to spring for the retina display.",,,neutral,size
14_laptop_test,1118:1,Once you get past learning how to use the poorly designed Windows 8 Set-Up you may feel frustrated.,,,negative,Windows 8 Set-Up
14_laptop_test,1002:1,It's light and easy to transport.,,,positive,transport
14_laptop_test,286:15,"I opted for the SquareTrade 3-Year Computer Accidental Protection Warranty ($1500-2000) which also support ""accidents"" like drops and spills that are NOT covered by AppleCare.",,,negative,AppleCare
14_laptop_test,286:15,"I opted for the SquareTrade 3-Year Computer Accidental Protection Warranty ($1500-2000) which also support ""accidents"" like drops and spills that are NOT covered by AppleCare.",,,positive,SquareTrade 3-Year Computer Accidental Protection Warranty
14_laptop_test,1028:1,I really like the size and I'm a fan of the ACERS.,,,positive,size
14_laptop_test,469:1,From the speed to the multi touch gestures this operating system beats Windows easily.,,,positive,multi touch gestures
14_laptop_test,469:1,From the speed to the multi touch gestures this operating system beats Windows easily.,,,positive,speed
